Fecha_Hora,Escenario,Conexion,VPN,Posicion_Esperada,Latitud,Longitud,Precision_m,Tiempo_Obtencion_ms,Tiempo_Consulta_Config_ms,Distancia_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
"2026-08-02T20:08:50.536Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288415"",""-79.213231"",""116.00"",""131.10"",""2244.20"",""6.86"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:21:11.844Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.40"",""629.80"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:12.260Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.80"",""626.50"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:12.667Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.70"",""652.60"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:13.383Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.40"",""944.10"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:13.894Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.60"",""1037.20"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:14.303Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.00"",""1023.90"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:14.713Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.60"",""968.40"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:15.023Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.70"",""834.80"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:15.532Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.70"",""884.80"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:15.881Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.30"",""831.30"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:16.251Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.00"",""776.40"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:16.971Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.10"",""1065.40"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:17.477Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.10"",""1155.30"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:17.848Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.80"",""1151.00"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:18.300Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.60"",""1143.00"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:19.557Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.20"",""1950.20"",""20.82"",""10"",""Rechazada"",""Sí"","""""
